Timestamp,Site 100,Site 101,Site 102,Site 103,Site 105,Site 106,Site 107,Site 108,Site 109
2021-01-01 00:00:00,66.0,18.0,46.0,19.0,97.0,39.0,66.0,31.0,51.0
2021-01-01 00:15:00,124.0,83.0,88.0,57.0,231.0,79.0,207.0,112.0,109.0
2021-01-01 00:30:00,121.0,102.0,83.0,91.0,252.0,96.0,272.0,106.0,143.0
2021-01-01 00:45:00,130.0,115.0,112.0,59.0,279.0,89.0,278.0,87.0,126.0
2021-01-01 01:00:00,160.0,115.0,107.0,49.0,226.0,86.0,235.0,98.0,111.0
2021-01-01 01:15:00,139.0,95.0,75.0,58.0,186.0,64.0,243.0,92.0,101.0
2021-01-01 01:30:00,122.0,95.0,88.0,54.0,186.0,69.0,193.0,88.0,91.0
2021-01-01 01:45:00,101.0,85.0,65.0,47.0,167.0,67.0,163.0,58.0,85.0
2021-01-01 02:00:00,98.0,72.0,45.0,29.0,124.0,35.0,163.0,56.0,52.0
2021-01-01 02:15:00,61.0,63.0,51.0,30.0,129.0,37.0,129.0,51.0,42.0
2021-01-01 02:30:00,76.0,36.0,38.0,27.0,108.0,43.0,82.0,41.0,55.0
2021-01-01 02:45:00,43.0,37.0,31.0,29.0,105.0,21.0,76.0,28.0,29.0
2021-01-01 03:00:00,61.0,39.0,30.0,22.0,74.0,22.0,95.0,22.0,27.0
2021-01-01 03:15:00,40.0,34.0,39.0,14.0,84.0,21.0,68.0,25.0,31.0
2021-01-01 03:30:00,48.0,36.0,22.0,14.0,69.0,23.0,54.0,27.0,23.0
2021-01-01 03:45:00,42.0,30.0,24.0,6.0,48.0,15.0,55.0,22.0,14.0
2021-01-01 04:00:00,26.0,26.0,18.0,6.0,58.0,16.0,54.0,14.0,20.0
2021-01-01 04:15:00,28.0,35.0,15.0,10.0,60.0,16.0,49.0,15.0,18.0
2021-01-01 04:30:00,28.0,22.0,26.0,16.0,71.0,11.0,66.0,22.0,15.0
2021-01-01 04:45:00,20.0,27.0,13.0,16.0,47.0,6.0,46.0,11.0,9.0
2021-01-01 05:00:00,21.0,23.0,9.0,9.0,45.0,8.0,41.0,14.0,11.0
2021-01-01 05:15:00,27.0,21.0,29.0,19.0,47.0,14.0,61.0,13.0,14.0
2021-01-01 05:30:00,31.0,20.0,36.0,21.0,66.0,19.0,54.0,23.0,29.0
2021-01-01 05:45:00,38.0,16.0,26.0,11.0,67.0,20.0,78.0,16.0,24.0
2021-01-01 06:00:00,42.0,29.0,28.0,16.0,88.0,17.0,93.0,24.0,23.0
2021-01-01 06:15:00,43.0,46.0,55.0,34.0,94.0,31.0,104.0,30.0,40.0
2021-01-01 06:30:00,44.0,30.0,50.0,32.0,112.0,38.0,121.0,42.0,49.0
2021-01-01 06:45:00,78.0,38.0,53.0,28.0,111.0,38.0,119.0,36.0,49.0
2021-01-01 07:00:00,39.0,34.0,66.0,31.0,88.0,33.0,101.0,28.0,41.0
2021-01-01 07:15:00,69.0,37.0,71.0,36.0,87.0,38.0,109.0,40.0,46.0
2021-01-01 07:30:00,78.0,34.0,97.0,32.0,119.0,50.0,121.0,34.0,63.0
2021-01-01 07:45:00,95.0,46.0,83.0,32.0,108.0,54.0,140.0,51.0,68.0
2021-01-01 08:00:00,87.0,53.0,106.0,44.0,98.0,56.0,142.0,48.0,70.0
2021-01-01 08:15:00,87.0,64.0,113.0,44.0,115.0,71.0,139.0,49.0,92.0
2021-01-01 08:30:00,89.0,61.0,127.0,48.0,172.0,78.0,181.0,70.0,103.0
2021-01-01 08:45:00,116.0,71.0,0.0,85.0,160.0,94.0,188.0,62.0,133.0
2021-01-01 09:00:00,150.0,86.0,0.0,77.0,183.0,102.0,226.0,79.0,143.0
2021-01-01 09:15:00,115.0,90.0,0.0,109.0,239.0,106.0,275.0,90.0,138.0
2021-01-01 09:30:00,164.0,119.0,0.0,109.0,277.0,150.0,322.0,102.0,207.0
2021-01-01 09:45:00,165.0,143.0,246.0,123.0,292.0,160.0,348.0,115.0,223.0
2021-01-01 10:00:00,155.0,146.0,274.0,121.0,268.0,138.0,359.0,123.0,201.0
2021-01-01 10:15:00,183.0,163.0,351.0,145.0,321.0,174.0,398.0,129.0,240.0
2021-01-01 10:30:00,219.0,195.0,397.0,111.0,349.0,187.0,447.0,117.0,284.0
2021-01-01 10:45:00,224.0,173.0,421.0,163.0,386.0,182.0,494.0,153.0,279.0
2021-01-01 11:00:00,215.0,195.0,435.0,175.0,402.0,190.0,545.0,165.0,304.0
2021-01-01 11:15:00,238.0,235.0,482.0,194.0,405.0,217.0,538.0,161.0,327.0
2021-01-01 11:30:00,290.0,222.0,503.0,216.0,438.0,252.0,613.0,146.0,382.0
2021-01-01 11:45:00,278.0,280.0,539.0,220.0,490.0,235.0,619.0,183.0,349.0
2021-01-01 12:00:00,298.0,242.0,460.0,219.0,468.0,250.0,647.0,164.0,376.0
2021-01-01 12:15:00,273.0,278.0,565.0,240.0,434.0,275.0,616.0,189.0,387.0
2021-01-01 12:30:00,280.0,283.0,507.0,264.0,423.0,229.0,673.0,191.0,335.0
2021-01-01 12:45:00,269.0,279.0,544.0,246.0,503.0,224.0,601.0,193.0,347.0
2021-01-01 13:00:00,249.0,259.0,537.0,231.0,507.0,203.0,652.0,186.0,326.0
2021-01-01 13:15:00,273.0,267.0,497.0,234.0,458.0,253.0,605.0,193.0,370.0
2021-01-01 13:30:00,258.0,254.0,514.0,228.0,440.0,231.0,606.0,185.0,357.0
2021-01-01 13:45:00,275.0,269.0,482.0,243.0,528.0,247.0,647.0,186.0,357.0
2021-01-01 14:00:00,256.0,262.0,509.0,223.0,462.0,245.0,597.0,179.0,376.0
2021-01-01 14:15:00,238.0,268.0,482.0,216.0,484.0,237.0,598.0,202.0,353.0
2021-01-01 14:30:00,262.0,278.0,484.0,237.0,559.0,267.0,626.0,191.0,392.0
2021-01-01 14:45:00,260.0,270.0,467.0,207.0,504.0,259.0,557.0,196.0,347.0
2021-01-01 15:00:00,291.0,300.0,464.0,228.0,507.0,251.0,644.0,183.0,317.0
2021-01-01 15:15:00,274.0,267.0,473.0,181.0,525.0,282.0,626.0,176.0,367.0
2021-01-01 15:30:00,267.0,236.0,477.0,248.0,537.0,258.0,616.0,196.0,340.0
2021-01-01 15:45:00,252.0,275.0,428.0,226.0,468.0,257.0,552.0,158.0,339.0
2021-01-01 16:00:00,245.0,248.0,446.0,213.0,507.0,218.0,589.0,238.0,289.0
2021-01-01 16:15:00,255.0,231.0,470.0,199.0,519.0,252.0,610.0,172.0,318.0
2021-01-01 16:30:00,218.0,226.0,438.0,185.0,441.0,203.0,596.0,192.0,280.0
2021-01-01 16:45:00,217.0,219.0,388.0,220.0,442.0,229.0,613.0,168.0,295.0
2021-01-01 17:00:00,230.0,214.0,400.0,171.0,457.0,242.0,545.0,193.0,336.0
2021-01-01 17:15:00,250.0,238.0,432.0,170.0,455.0,233.0,571.0,199.0,304.0
2021-01-01 17:30:00,228.0,230.0,426.0,178.0,495.0,200.0,556.0,168.0,282.0
2021-01-01 17:45:00,238.0,205.0,376.0,220.0,392.0,234.0,473.0,173.0,283.0
2021-01-01 18:00:00,203.0,212.0,311.0,177.0,384.0,184.0,489.0,178.0,240.0
2021-01-01 18:15:00,211.0,232.0,288.0,189.0,354.0,191.0,436.0,182.0,259.0
2021-01-01 18:30:00,173.0,163.0,318.0,127.0,302.0,161.0,400.0,134.0,235.0
2021-01-01 18:45:00,179.0,177.0,271.0,170.0,350.0,175.0,387.0,162.0,248.0
2021-01-01 19:00:00,156.0,181.0,246.0,140.0,318.0,128.0,350.0,141.0,189.0
2021-01-01 19:15:00,164.0,188.0,215.0,123.0,330.0,153.0,335.0,117.0,203.0
2021-01-01 19:30:00,160.0,132.0,209.0,99.0,318.0,117.0,310.0,111.0,170.0
2021-01-01 19:45:00,161.0,131.0,199.0,98.0,278.0,113.0,296.0,108.0,153.0
2021-01-01 20:00:00,140.0,141.0,164.0,95.0,300.0,113.0,287.0,117.0,156.0
2021-01-01 20:15:00,150.0,104.0,187.0,50.0,231.0,119.0,265.0,106.0,168.0
2021-01-01 20:30:00,147.0,112.0,163.0,68.0,268.0,92.0,275.0,126.0,128.0
2021-01-01 20:45:00,144.0,139.0,150.0,89.0,285.0,109.0,251.0,109.0,152.0
